,term,MAE,MSE,RMSE,MAPE
38,8train_size-4predict_size,462.3685447899071,449480.91334887774,670.4333772634517,11.822782898182508
39,8train_size-5predict_size,427.71438280188517,387309.77119803405,622.3421656918596,11.134641254967878
40,8train_size-6predict_size,280.0207741881546,140688.65441445782,375.0848629503166,7.865283790229966
41,8train_size-7predict_size,346.19527225703985,204829.77542028387,452.5812362662463,9.8427672302241
42,9train_size-2predict_size,246.26537890102773,107851.96799572028,328.4082337514093,7.002803431732037
43,9train_size-3predict_size,302.3900942785338,159311.10912422053,399.1379575087047,8.56657963245042
44,9train_size-4predict_size,320.55369081239445,179648.86195462788,423.850046543147,9.108517956945255
45,9train_size-5predict_size,422.4111428965693,302362.3174458711,549.8748197961705,12.159664855543939
46,9train_size-6predict_size,369.51330388526014,241263.02861771954,491.1853302142884,10.634957941447093
47,9train_size-7predict_size,412.71439341211243,343698.647143391,586.2581744789501,10.972473015078103
48,10train_size-2predict_size,278.0762378060244,129138.54074002412,359.35851282531786,7.835757084500748
49,10train_size-3predict_size,902.0430107526881,1279858.2258064514,1131.3081922298854,20.2681621088566
50,10train_size-4predict_size,388.8766548775338,269015.7730833398,518.6673048143094,11.26359796733563
51,10train_size-5predict_size,433.45924894913384,312789.41900324763,559.2757986926018,12.413382705310724
52,10train_size-6predict_size,401.964599609375,348013.24211191776,589.9264717843383,10.521077376676912
